OrderID,Date,CustomerName,Product,Category,Region,Quantity,Price,TotalSales
1001,2026-01-01,Alice,Laptop,Electronics,North,1.0,1200.0,1200.0
1002,2026-01-02,Bob,Shirt,Clothing,West,2.0,25.0,50.0
1003,2026-01-02,Charlie,Laptop,Electronics,East,1.0,1200.0,1200.0
1004,2026-01-03,Alice,Shoes,Clothing,North,1.0,50.0,50.0
1005,2026-01-04,David,Headphones,Electronics,South,3.0,100.0,300.0
1007,2026-01-06,Frank,Jeans,Clothing,East,2.0,60.0,120.0
1008,2026-01-06,Grace,TV,Electronics,North,1.0,800.0,800.0
1009,2026-01-07,Henry,Socks,Clothing,West,5.0,10.0,50.0
1010,2026-01-08,Ivy,Backpack,Home & Kitchen,East,1.0,45.0,45.0
1011,2026-01-09,Jack,Blender,Home & Kitchen,South,1.0,150.0,150.0
1012,2026-01-09,Kevin,Shirt,Clothing,North,3.0,25.0,75.0
1013,2026-01-11,Leo,Laptop,Electronics,West,1.0,1200.0,1200.0
1014,2026-01-12,Mia,Shoes,Clothing,East,1.0,50.0,50.0
1015,2026-01-13,Noah,Headphones,Electronics,South,2.0,100.0,200.0
1016,2026-01-14,Olivia,Jeans,Clothing,North,1.0,60.0,60.0
1017,2026-01-15,Peter,TV,Electronics,West,1.0,800.0,800.0
1018,2026-01-16,Quinn,Socks,Clothing,East,10.0,10.0,100.0
1019,2026-01-17,Rachel,Backpack,Home & Kitchen,South,2.0,45.0,90.0
1021,2026-01-19,Tom,Shirt,Clothing,West,4.0,25.0,100.0
1022,2026-01-20,Ursula,Laptop,Electronics,East,1.0,1200.0,1200.0
1023,2026-01-21,Victor,Shoes,Clothing,South,1.0,50.0,50.0
1024,2026-01-22,Wendy,Headphones,Electronics,North,2.0,100.0,200.0
1025,2026-01-23,Xavier,Jeans,Clothing,West,2.0,60.0,120.0
1026,2026-01-24,Yara,TV,Electronics,East,1.0,800.0,800.0
1027,2026-01-25,Zane,Socks,Clothing,South,3.0,10.0,30.0
1028,2026-01-25,Alice,Backpack,Home & Kitchen,North,1.0,45.0,45.0
1029,2026-01-27,Bob,Blender,Home & Kitchen,West,2.0,150.0,300.0
1030,2026-01-28,Charlie,Shirt,Clothing,East,2.0,25.0,50.0
1031,2026-01-29,David,Laptop,Electronics,South,1.0,1200.0,1200.0
1032,2026-01-30,Eva,Shoes,Clothing,North,3.0,50.0,150.0
1033,2026-01-31,Frank,Headphones,Electronics,West,1.0,100.0,100.0
1034,2026-02-01,Grace,Jeans,Clothing,East,1.0,60.0,60.0
1035,2026-02-02,Henry,TV,Electronics,South,2.0,800.0,1600.0
1036,2026-02-03,Ivy,Socks,Clothing,North,6.0,10.0,60.0
1037,2026-02-04,Jack,Backpack,Home & Kitchen,West,1.0,45.0,45.0
1038,2026-02-04,Kevin,Blender,Home & Kitchen,East,1.0,150.0,150.0
1039,2026-02-06,Leo,Shirt,Clothing,South,2.0,25.0,50.0
1040,2026-02-07,Mia,Laptop,Electronics,North,1.0,1200.0,1200.0
1041,2026-02-08,Noah,Shoes,Clothing,West,1.0,50.0,50.0
1042,2026-02-09,Olivia,Headphones,Electronics,East,1.0,100.0,100.0
1043,2026-02-10,Peter,Jeans,Clothing,South,3.0,60.0,180.0
1044,2026-02-11,Quinn,TV,Electronics,North,1.0,800.0,800.0
1045,2026-02-12,Rachel,Socks,Clothing,West,8.0,10.0,80.0
1046,2026-02-13,Sam,Backpack,Home & Kitchen,East,2.0,45.0,90.0
1048,2026-02-15,Ursula,Shirt,Clothing,North,2.0,25.0,50.0
1049,2026-02-16,Victor,Laptop,Electronics,West,1.0,1200.0,1200.0
1050,2026-02-17,Wendy,Shoes,Clothing,East,1.0,50.0,50.0
1051,2026-02-18,Xavier,Headphones,Electronics,South,2.0,100.0,200.0
1052,2026-02-19,Yara,Jeans,Clothing,North,1.0,60.0,60.0
1053,2026-02-20,Zane,TV,Electronics,West,1.0,800.0,800.0
1054,2026-02-20,Alice,Socks,Clothing,East,4.0,10.0,40.0
1055,2026-02-22,Bob,Backpack,Home & Kitchen,South,1.0,45.0,45.0
1056,2026-02-23,Charlie,Blender,Home & Kitchen,North,2.0,150.0,300.0
1057,2026-02-24,David,Shirt,Clothing,West,3.0,25.0,75.0
